Chegada,Mercadoria,Quantidade,Origem,Sentido,Porto
08/11/2024 11:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
08/11/2024 16:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
09/11/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
09/11/2024 07:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
09/11/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
09/11/2024 10:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
09/11/2024 12:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
10/10/2024 22:10:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
10/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,2,CONTEINERES,Importação,Porto de Santos
10/11/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
10/11/2024 02:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
10/11/2024 11:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
10/11/2024 18:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
11/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,3,CONTEINERES,Importação,Porto de Santos
11/11/2024 11:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
11/11/2024 13:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
12/11/2024 10:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
13/06/2024 10:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
14/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
14/11/2024 02:01:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,2,CONTEINERES,Importação,Porto de Santos
14/11/2024 20:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
15/11/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
16/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,3,CONTEINERES,Importação,Porto de Santos
16/11/2024 03:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
16/11/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
16/12/2024 02:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
17/11/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
18/11/2024 02:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
18/11/2024 11:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
18/11/2024 17:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
19/11/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
19/11/2024 11:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
20/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,2,CONTEINERES,Importação,Porto de Santos
20/11/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
21/11/2024 02:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
21/11/2024 02:01:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
21/11/2024 20:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
22/11/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
23/10/2024 15:15:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
23/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
23/11/2024 03:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
23/11/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
24/10/2024 01:48:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
24/10/2024 09:30:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
24/10/2024 17:42:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
24/10/2024 20:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
24/11/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
24/11/2024 01:01:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
24/11/2024 11:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
24/11/2024 18:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
25/11/2024 11:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
26/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
26/11/2024 08:01:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
27/10/2024 10:30:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
27/10/2024 16:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
27/10/2024 17:30:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
27/11/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
28/10/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
28/10/2024 08:45:00,CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
28/10/2024 12:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
28/10/2024 12:24:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
28/11/2024 02:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
29/10/2024,CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
29/10/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,36,CONTEINERES,Importação,Porto de Santos
29/10/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
29/10/2024 08:00:00,CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
29/10/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
29/10/2024 12:00:00,CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
29/10/2024 13:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,2,CONTEINERES,Importação,Porto de Santos
29/11/2024 08:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
29/11/2024 16:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
30/10/2024,CONTEINERES CHEIOS CONTEINERES CHEIOS,4,CONTEINERES,Importação,Porto de Santos
30/10/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,2,CONTEINERES,Importação,Porto de Santos
30/10/2024 10:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
30/10/2024 14:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
30/10/2024 17:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
30/11/2024 01:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
30/11/2024 03:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
31/10/2024 07:00:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,3,CONTEINERES,Importação,Porto de Santos
31/10/2024 12:00:00,CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
31/10/2024 13:32:00,CONTEINERES CHEIOS CONTEINERES CHEIOS,1,CONTEINERES,Importação,Porto de Santos
